Web of science search,Initials ,FRED? (y/n),Warming experiment? (y/n),Should be in Warming dataset? (y/n),Should be in FRED? (y/n),In SH thesis (y/n),Data Extracted?,Which Protocol?,Rationale for exclusion from AU warming database,Data source,Entered in FRED?,2025 Notes,Initials,Notes,Experiment or Gradient (Selena),Species (Selena),Traits (Selena),Notes (Selena),Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISSN,eISSN,Publication Date,Publication Year,Volume,Issue,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,UT (Unique WOS ID)
WOS1990,MY,y,n,n,y,n,already in FRED,already in FRED,already in FRED,Not found,NA,,MY,,,,,,,"Fahey, TJ etal",,,,,,,Root Decomposition And Nutrient Flux Following Whole-Tree Harvest Of Northern Hardwood Forest,Forest Science,"Decomposition of roots of four dominant species (Acer saccharum, Betula alleghaniensis, Fagus grandifolia, Picea rubens) in a northern hardwood ecosystem was measured following whole-tree harvest of watershed 5 at Hubbard Brook Experimental Forest, New Hampshire. To quantify the importance of element release from tree root systems after forest harvest, measurements of macronutrient (N, K, P, Ca, Mg) release from roots of seven diameter (mm) classes (< 0.6, 0.6-1.0, 1.0-2.5, 2.5-5.0, 5-10, 10-20, 20-100) were combined with information on root system nutrient content. Decay of fine roots (all species) was initially rapid but declined abruptly after the first summer. Ash-free weight loss from small woody roots decreased with increasing root diameter and was much slower than decay rates for corresponding aboveground tissues (twigs and branches). Weight loss rates among species generally were not significantly different; however, large woody roots (10-100 mm diameter) of sugar maple decayed much more rapidly than the other species. Rapid release of K and Mg was observed for all roots. Initially high rates of N and P release were observed for fine roots, whereas these nutrients were effectively retained in decaying woody roots. Retention of Ca was observed for all roots, and significant accumulation of Ca was observed in the larger size classes of woody roots. Particularly for N and K, release from decaying roots was an important nutrient flux pathway supplying stream outflow and vegetation regrowth in the first two years following forest harvest.",,,,,,,,,,,,,,,,,0015-749X,1938-3738,,,SEPT,1988,34,3,744,768,,,,,
WOS1990,MY,y,n,n,y,n,already in FRED,already in FRED,already in FRED,Not found,NA,,MY,,,,,,,"Gower, ST",,,,,,,Relations Between Mineral Nutrient Availability And Fine Root Biomass In 2 Costa Rican Tropical Wet Forests - A Hypothesis,Biotropica,Fine root biomass was estimated for two Costa Rican broad-leaf evergreen forests with apparent differences in soil nutrient status. Live fine root biomass (< 5 mm diameter) for the two sites was 187 and 125 g .cntdot. m-2 while total fine root biomass was 662 and 369 g .cntdot. m-2. The greater fine root biomass occurred on the site with the lowest soil phosphorus and calcium content. Reviews of the tropical literature suggest that total fine root biomass is inversely related to phosphorus and calcium availability. No apparent relationship was observed between fine root biomass and nitrogen availability in tropical forests.,,,,,,,,,,,,,,,,,0006-3606,1744-7429,,,JUN,1987,19,2,171,175,,10.2307/2388741,,,
WOS1990,MY,y,n,n,y,n,already in FRED,already in FRED,already in FRED,Not found,NA,,MY,,,,,,,"Yin, XW; Perry, JA; Dixon, RK ",,,,,,,Fine-Root Dynamics And Biomass Distribution In A Quercus Ecosystem Following Harvesting,Forest Ecology And Management,"This study tested the hypotheses: i) that harvesting significantly affects fine-root biomass, production and mortality; and ii) that below-ground living plant biomass recovers to pre-harvest level more rapidly than above-ground biomass. Vertical distribution, temporal trends, production and mortality of fine-root biomass, and below-ground and above-ground biomass were estimated for clearcut (CC), shelter-woodcut (SC) and undisturbed (NC) sites in a Quercus ecosystem at the Hardies Creek Forest, Wisconsin, U.S.A. The CC site differed from the NC site in vertical distribution, standing biomass, and production and mortality of fine-root biomass, while the SC site was similar to the NC site. Below-ground biomass on CC was about 22% of that on NC, compared to 6% for above-ground; both below-ground and above-ground biomass estimates on SC were about 82% of those on NC. Differences between CC and NC were attributed to vigorous development of dense-rooting understory plants induced by the cutting. Biomass, production and mortality of fine-root biomass in post-harvest stands follow a sequence explainable on the basis of plant community succession.",,,,,,,,,,,,,,,,,0378-1127,1872-7042,,,JUN,1989,27,3-4,159,177,,10.1016/0378-1127(89)90105-9,,,
WOS1990,MY,n,n,n,y,n,complete,"ChatGPT: Fig 1, 2, Table 1",,Not found,complete,,MY,,,,,,,"Aber, JD etal",,,,,,,Fine Root Turnover In Forest Ecosystems In Relation To Quantity And Form Of Nitrogen Availability - A Comparison Of 2 Methods,Oecologia,Two methods of estimating fine root production and turnover are compared for 13 forest ecosystems exhibiting a wide range in form (NH4+ vs. NO3-) and quantity of available N. The 2 methods are by comparison of seasonal maxima [max] and minima [min] in biomass and by N budgeting. Both methods give similar results for stands with low rates of nitrification. The budgeting method predicts higher fine root turnover and productivity than the max-min method for systems with significant rates of nitrification.,,,,,,,,,,,,,,,,,0029-8549,1432-1939,,,,1985,66,3,317,321,,10.1007/BF00378292,,,
WOS1990,MY,n,n,n,y,n,complete,ChatGPT: Table 1,,Not found,complete,,MY,,,,,,,"Adams, MB; Pennell, KD; Campbell, RG",,,,,,,Fine Root Distribution In A Young Loblolly-Pine (Pinus-Taeda L) Stand - Effects Of Preplant Phosphorus Fertilization,Plant And Soil,"The effects of preplant phosphorus fertilization on fine root (.ltoreq. 2 mm) distribution were examined in an 11-year-old stand of loblolly pine (Pinus taeda L.) located on the lower Coastal Plain of North Caroline [USA]. Root auger cores were collected from the planting bed and interbed areas from two depths (0-10 and 10-20 cm) from fertilized (45 kg P ha-1 at time of planting) and nonfertilized plots. Root samples were collected and aboveground growth measured during the 11th year after fertilization. Despite significant increases in aboveground volume and biomass due to fertilization, fine root biomass was unaffected. No differences in rooting density (root length per volume of soil) due to phosphorus additions were detected. However, the ratio of fine root biomass to aboveground (shoot) biomass (R:S) was significantly smaller on plots receiving phosphorus fertilization.",,,,,,,,,,,,,,,,,0032-079X,1573-5036,,,JAN,1989,113,2,275,278,,10.1007/BF02280192,,,
WOS1990,MY,n,n,n,n,n,,,,Not found,NA,,MY,,,,,,,"Burke, MK; Leblanc, DC",,,,,,,Rapid Measurement Of Fine Root Length Using Photoelectronic Image-Analysis,Ecology,"Root-length estimates obtained using 3 different methods of a commerically available image analyzer were compared. Precision accuracy, and the speed of obtaining estimates differed significantly among the Semirandom, Parallel, and Right Angle methods; this was a result of orientation effects and analyzer calibration limitations. A new rapid, accurate, and precise method of obtaining root-length estimates using the analyzer was developed. The procedure interfaces the image analyzer with a microcomputer and uses a program that standardizes orientation effects during calibration.",,,,,,,,,,,,,,,,,0012-9658,1939-9170,,,AUG,1988,69,4,1286,1289,,10.2307/1941284,,,
WOS1990,MY,n,n,n,y,n,complete,"ChatGPT: Table 2, 3, 5",,Not found,complete,,MY,,,,,,,"Ahlstrom, K; Persson, H; Borjesson, I ",,,,,,,Fertilization In A Mature Scots Pine (Pinus-Sylvestris L) Stand - Effects On Fine Roots,Plant And Soil,"The effects of liquid and solid fertilizers on fine-root development were studied in a 130-year old Scots pine (Pinus sylvestris L.) stand. Ingrowth cores, viz. initially root-free mesh bags with sieved mineral soil taken outside the plots and driven to a depth of 30 cm from the soil surface, were subsequently resampled and the amount of fine roots was estimated. The total accretion of both fine-root length and dry weight was comparatively high in the liquid fertilization plot. The most substantial net accretion, however, during the 1984 period was in the control plot. The results of the study is that the ramification pattern of the fine roots was strongly influenced by fertilization. The average number of root tips per unit length was 9.9 cm-1 in the control plot cm-1, compared with both the solid (A and B) and liquid fertilization plots (2.3, 3.2 and 3.3 cm-1, respectively) due to a greater occurrence of mycorrhizal aggregates (''ball mycorrhiza''). The effects of fertilization on the mineral nutrient concentrations in the fine roots were limited.sbd.the strongest effects were in the liquid.sbd.fertilized area. The observed increase in the concentration of most mineral nutrients in the latter experimental area, however, may be due to a change in the growth pattern of the fine roots rather than an effect of the fertilizers themselves.",,,,,,,,,,,,,,,,,0032-079X,1573-5036,,,,1988,106,2,179,190,,10.1007/BF02371212,,,
WOS1990,MY,n,n,n,y,n,complete,"ChatGPT: Table 1, Fig 4",,Not found,NA,,MY,,,,,,,"Bedeneau, M; Auclair, D",,,,,,,The Study Of Tree Fine Root Distribution And Dynamics Using A Combined Trench And Observation Window Method,Annales Des Sciences Forestieres,"Root distribution and growth were studied in a natural oak-birch coppice, by combining the trench and observation window methods. Root weight was estimated while digging the trench, showing that 90 percent of dry weight is situated in the upper 50 centimetres of soil. Root position was analyzed, using variograms: a cluster effect was observed, around 50 cm for old roots and 20 cm for new roots. Oak and birch appeared to have different seasonal root elongation patterns. The results are discussed in relation to the methods employed.",,,,,,,,,,,,,,,,,0003-4312,,,,,1989,46,3,283,290,,10.1051/forest:19890307,,,
WOS1990,MY,n,n,y,y,n,complete,"ChatGPT: Table 1
PlotDigitizer: Fig 1, 2, 4, 6",,Not found,NA,,MY,,,,,,,"Bevington, KB; Castle, WS",,,,,,,"Annual Root-Growth Pattern Of Young Citrus Trees In Relation To Shoot Growth, Soil-Temperature, And Soil-Water Content",Journal Of The American Society For Horticultural Science,,,,,,,,,,,,,,,,,,0003-1062,2327-9788,,,,1985,110,6,840,845,,,,,
WOS1990,MY,n,n,n,y,n,complete,ChatGPT: Table 3,,Not found,complete,,MY,,,,,,,"Comfort, SD; Malzer, GL; Busch, RH",,,,,,,Nitrogen-Fertilization Of Spring Wheat Genotypes - Influence On Root-Growth And Soil-Water Depletion,Agronomy Journal,,,,,,,,,,,,,,,,,,0002-1962,1435-0645,,,,1988,80,1,114,120,,10.2134/agronj1988.00021962008000010025x,,,
